uniqueid,game,firstPlayer,choice1,choice2,phase,rating
55,threat0,column,A,A,rangeProb1,100
55,threat3,column,B,B,rangeProb1,0
55,threat1,row,A,B,rangeProb1,100
56,pd0,column,A,A,rangeProb1,100
56,pd3,column,B,B,rangeProb1,24
56,disjunctive0,column,A,A,rangeProb1,55
56,disjunctive3,row,B,B,rangeProb1,40
56,threat0,column,A,A,rangeProb1,40
56,threat1,column,B,A,rangeProb1,41
56,threat3,column,B,B,rangeProb1,29
56,coordination1,row,A,B,rangeProb1,52
56,coordination0,column,A,A,rangeProb1,60
56,singleControl0,row,A,A,rangeProb1,49
56,singleControl1,column,B,A,rangeProb1,0
58,threat0,row,A,A,rangeProb1,34
58,threat1,row,A,B,rangeProb1,36
58,threat3,row,B,B,rangeProb1,18
58,singleControl0,row,A,A,rangeProb1,23
58,singleControl1,row,A,B,rangeProb1,36
58,disjunctive0,column,A,A,rangeProb1,50
58,disjunctive3,row,B,B,rangeProb1,41
58,coordination0,row,A,A,rangeProb1,32
58,coordination1,row,A,B,rangeProb1,44
58,pd3,row,B,B,rangeProb1,21
58,pd0,row,A,A,rangeProb1,82
60,disjunctive3,row,B,B,rangeProb1,0
60,disjunctive0,row,A,A,rangeProb1,58
60,threat3,column,B,B,rangeProb1,36
60,threat1,row,A,B,rangeProb1,50
60,threat0,column,A,A,rangeProb1,36
60,pd0,row,A,A,rangeProb1,100
60,pd3,column,B,B,rangeProb1,0
60,singleControl0,column,A,A,rangeProb1,100
60,singleControl1,row,A,B,rangeProb1,50
60,coordination1,column,B,A,rangeProb1,49
60,coordination0,row,A,A,rangeProb1,50
62,singleControl1,row,A,B,rangeProb1,49
62,singleControl0,column,A,A,rangeProb1,61
62,coordination0,column,A,A,rangeProb1,50
62,coordination1,column,B,A,rangeProb1,50
62,disjunctive3,row,B,B,rangeProb1,20
62,disjunctive0,column,A,A,rangeProb1,49
62,threat1,column,B,A,rangeProb1,50
62,threat3,column,B,B,rangeProb1,50
62,threat0,row,A,A,rangeProb1,50
62,pd3,column,B,B,rangeProb1,49
62,pd0,column,A,A,rangeProb1,97
63,disjunctive0,column,A,A,rangeProb1,73
63,disjunctive3,row,B,B,rangeProb1,10
63,threat1,column,B,A,rangeProb1,41
63,threat3,column,B,B,rangeProb1,42
63,threat0,column,A,A,rangeProb1,94
63,singleControl0,row,A,A,rangeProb1,51
63,singleControl1,column,B,A,rangeProb1,2
63,coordination1,row,A,B,rangeProb1,52
63,coordination0,row,A,A,rangeProb1,51
63,pd3,row,B,B,rangeProb1,40
63,pd0,row,A,A,rangeProb1,84
64,singleControl0,row,A,A,rangeProb1,100
64,singleControl1,row,A,B,rangeProb1,100
64,disjunctive3,row,B,B,rangeProb1,100
64,disjunctive0,column,A,A,rangeProb1,100
64,coordination1,row,A,B,rangeProb1,100
64,coordination0,column,A,A,rangeProb1,100
64,threat3,row,B,B,rangeProb1,76
64,threat1,column,B,A,rangeProb1,71
64,threat0,column,A,A,rangeProb1,100
64,pd3,column,B,B,rangeProb1,29
64,pd0,row,A,A,rangeProb1,28
65,threat0,row,A,A,rangeProb1,90
65,threat1,column,B,A,rangeProb1,92
65,threat3,row,B,B,rangeProb1,1
65,coordination0,column,A,A,rangeProb1,100
65,coordination1,row,A,B,rangeProb1,100
65,disjunctive3,column,B,B,rangeProb1,100
65,disjunctive0,column,A,A,rangeProb1,100
65,singleControl0,row,A,A,rangeProb1,100
65,singleControl1,row,A,B,rangeProb1,100
65,pd3,column,B,B,rangeProb1,0
65,pd0,row,A,A,rangeProb1,87
